name,data,quote_text,status,url
Senado não analisa lei que impõe sanções por pregações religiosas,"22 de outubro de 2019, 14h47","Hoje começa a debater a iniciativa da lei de proteção doméstica no Senado da República. Que contempla - Prisão religiosa por pregar em horas impróprias. -Sanção às congregações que têm um grande volume no momento de celebrar sua adoração. -Sanção aos que andam nas ruas e visitam casas incomodando pedestres e violando a integridade da família. Foi até discutido como uma violação da liberdade de culto impor a leitura da Bíblia. Vamos ter um momento para orar, não importa se você está no trabalho, na escola, no caminhão ou em casa, procure um momento para orar a Deus e pedir que ele toque o coração dos deputados e senadores, para refletir e não aprovar esta iniciativa . Isso trará se aprovada, uma perseguição à igreja ... estamos vivendo tempos difíceis, ore.",FALSO,https://www.aosfatos.org/noticias/senado-nao-analisa-lei-que-impoe-sancoes-pregacoes-religiosas/
É falso que helicóptero colombiano foi abatido na fronteira com a Venezuela,"3 de setembro de 2019, 16h37",Helicóptero colombiano derrubado agora há pouco na fronteira de Venezuela e Colômbia. A tensão fica [sic] dobrada nesta área de conflito.,FALSO,https://www.aosfatos.org/noticias/e-falso-que-helicoptero-colombiano-foi-abatido-na-fronteira-com-venezuela/
"Com fotos antigas, posts enganam ao dizer que PF fez operação na Globo","4 de setembro de 2019, 19h02","Rede Globo sendo visitada pela Polícia Federal. Cumprindo mandato de busca e apreensão de documentos, computadores etc etc. Referente a repasse de verbas supermilionárias. Será que o Jornal Nacional vai colocar no Ar ?",FALSO,https://www.aosfatos.org/noticias/com-fotos-antigas-posts-enganam-ao-dizer-que-pf-fez-operacao/
É falso que Prefeitura de Fortaleza editou cartilha que incentiva pedofilia,"5 de setembro de 2019, 17h55",Masturbação infantil em creches atenção pais de Fortaleza e de todo o Brasil!!!!,FALSO,https://www.aosfatos.org/noticias/e-falso-que-prefeitura-de-fortaleza-editou-cartilha-que-incentiva-pedofilia/
Vídeo não mostra furacão Dorian; imagens são obra de artista visual dos EUA,"6 de setembro de 2019, 10h02",Furacão Dorian parado nas Bahamas!!! Impressionante as forças da natureza.,FALSO,https://www.aosfatos.org/noticias/video-nao-mostra-furacao-dorian-imagens-sao-obra-de-artista-visual-dos-eua/
Não é verdade que pimentões podem abrigar vermes mortais,"6 de setembro de 2019, 14h43","Gente, cuidado com o pimentão. Esse verme chama Simla Mirch. Um novo verme que vive em áreas molhadas do corpo também pode causar dor e até vir a matar, eventualmente..",FALSO,https://www.aosfatos.org/noticias/nao-e-verdade-que-pimentoes-podem-abrigar-vermes-mortais/
Número de focos de queimadas na Amazônia em 2019 não é o menor desde 1998,"23 de agosto de 2019, 14h26",Site do Inpe. Em 2019 é o ano de MENOR queimada desde 1998!!!,FALSO,https://www.aosfatos.org/noticias/numero-de-focos-de-queimadas-na-amazonia-em-2019-nao-e-o-menor-desde-1998/
Não é verdade que 100 mil ONGs atuam na Amazônia,"23 de agosto de 2019, 19h50",Amazonas: 100 mil ONGs. Nordeste: 0 ONGs.,FALSO,https://www.aosfatos.org/noticias/nao-e-verdade-que-100-mil-ongs-atuam-na-amazonia/
Vídeo do Greenpeace é editado para sustentar que ONG negou ajuda ao Nordeste,"23 de outubro de 2019, 17h44",Greenpeace nega ajuda ao Nordeste e posta vídeo dando desculpa esfarrapada.,FALSO,https://www.aosfatos.org/noticias/video-do-Greenpeace-editado-para-sustentar-que-ONG-negou-ajuda-ao-nordeste/
É falso que decreto de Bolsonaro torna Amazônia território militar,"26 de agosto de 2019, 13h49",A partir de zero hora toda Amazônia será considerada uma área militar. Presidente decretou. Acabou a putaria.,FALSO,https://www.aosfatos.org/noticias/e-falso-que-decreto-de-bolsonaro-torna-amazonia-territorio-militar/
É falso que Messi contratou aviões para combater queimadas na Amazônia,"26 de agosto de 2019, 16h36","Messi provando mais uma vez que não é grande só em campo, ele decidiu contratar 5 aviões de até 70.000 litros de capacidade para ajudar a acabar com o incêndio que tá destruindo grande parte da Amazônia. Parabéns pela atitude Messi, mais uma vez provando que tu é um ser humano incrível não só dentro como fora de campo também!",FALSO,https://www.aosfatos.org/noticias/e-falso-que-messi-contratou-avioes-para-combater-queimadas-na-amazonia/
Foto de avião no Chile é compartilhada como se fosse na Amazônia,"26 de agosto de 2019, 18h30","Bolsonaro manda vários aviões para Amazônia para apagar o fogo, a mídia não vai mostrar isso, mas nós mostramos.",FALSO,https://www.aosfatos.org/noticias/foto-de-aviao-no-chile-e-compartilhada-como-se-fosse-na-amazonia/
"Foto não mostra integrantes do MST e de ONGs, mas madeireiros presos por índios em 2014","27 de agosto de 2019, 16h46","MST E ONG'S COLOCANDO FOGO NA AMAZÔNIA! AS ONG'S ERAM FINANCIADAS POR EMPRESAS ESTRANGEIRAS PARA FUNCIONAR NO BRASIL. Vejam o que aconteceu: Índios pegaram petralhas ateando fogo na amazônia, juntos com as membros de ONGs também. Bando de criminosos!",FALSO,https://www.aosfatos.org/noticias/foto-nao-mostra-integrantes-do-mst-e-de-ongs-mas-madeireiros-presos-por-indios-em-2014/
Homem preso por incêndio no Amazonas não foi pago por ONGs ou movimentos sociais,"28 de agosto de 2019, 15h01","Suspeito de atear fogo na floresta é detido em Iranduba (AM), e alega ter sido pago por ONG para cometer crime ambiental.",FALSO,https://www.aosfatos.org/noticias/homem-preso-por-incendio-no-amazonas-nao-foi-pago-por-ongs-ou-movimentos-sociais/
Homem preso por incêndio no Amazonas não foi pago por ONGs ou movimentos sociais,"28 de agosto de 2019, 15h01",Integrante do MST é preso incendiando florestas no Amazonas.,FALSO,https://www.aosfatos.org/noticias/homem-preso-por-incendio-no-amazonas-nao-foi-pago-por-ongs-ou-movimentos-sociais/
